ticker,grade,name,value,growth,momntm,VGM,rating,price,dividend amt,dividend pcnt
LFGR,Leaf Group Ltd. (LFGR),D Sell,F,F,B,F,3-Hold,$7.40,$0.00,0.00%
AVAL,Grupo Aval Acciones y Valores S.A. (AVAL),D Sell,A,F,B,B,2-Buy,$8.55,$0.39,4.56%
DGX,Quest Diagnostics Incorporated (DGX),B+ Buy,B,B,D,B,3-Hold,$93.31,$1.80,1.93%
AUY,Yamana Gold Inc. (AUY),D+ Sell,C,B,F,C,3-Hold,$3.40,$0.02,0.59%
LII,Lennox International Inc. (LII),B- Buy,C,A,D,B,2-Buy,$157.25,$1.72,1.09%
VAR,Varian Medical Systems Inc. (VAR),B- Buy,B,D,A,B,4-Sell,$79.78,$0.00,0.00%
WU,Western Union Company (The) (WU),B Buy,B,C,D,B,3-Hold,$19.97,$0.64,3.20%
TRV,The Travelers Companies Inc. (TRV),A- Buy,A,F,F,C,3-Hold,$117.78,$2.68,2.28%
EEP,Enbridge Energy L.P. (EEP),C Hold,A,C,D,B,3-Hold,$18.85,$2.33,12.37%
TNC,Tennant Company (TNC),B Buy,D,B,D,C,3-Hold,$70.95,$0.84,1.18%
UCP,UCP Inc. (UCP),C- Hold,C,D,C,D,3-Hold,$10.80,$0.00,0.00%
WAB,Westinghouse Air Brake Technologies Corporation (WAB),B Buy,C,D,F,D,2-Buy,$87.58,$0.40,0.46%
RENN,Renren Inc. (RENN),D Sell,F,D,B,F,3-Hold,$1.62,$0.00,0.00%
AG,First Majestic Silver Corp. (AG),D+ Sell,F,A,F,D,4-Sell,$9.96,$0.00,0.00%
RLH,Red Lion Hotels Corporation (RLH),C Hold,C,A,A,A,4-Sell,$8.05,$0.00,0.00%
ALG,Alamo Group Inc. (ALG),A Buy,B,A,F,A,3-Hold,$77.07,$0.40,0.52%
VSI,Vitamin Shoppe Inc (VSI),C Hold,A,A,F,A,3-Hold,$22.70,$0.00,0.00%
ALB,Albemarle Corporation (ALB),A- Buy,D,B,B,C,2-Buy,$94.27,$1.22,1.29%
APD,Air Products and Chemicals Inc. (APD),B Buy,C,B,A,B,4-Sell,$140.16,$3.44,2.45%
TWI,Titan International Inc. (TWI),D+ Sell,C,A,A,A,2-Buy,$12.92,$0.02,0.15%
WAIR,Wesco Aircraft Holdings Inc. (WAIR),C+ Hold,B,A,C,A,4-Sell,$15.30,$0.00,0.00%
AMG,Affiliated Managers Group Inc. (AMG),C+ Hold,B,D,F,C,3-Hold,$158.13,$0.00,0.00%
AAC,AAC Holdings Inc. (AAC),C- Hold,B,F,D,D,3-Hold,$8.17,$0.00,0.00%
AYI,Acuity Brands Inc (AYI),B Buy,D,B,D,D,4-Sell,$206.35,$0.52,0.25%
PZN,Pzena Investment Management Inc (PZN),B Buy,D,B,A,B,1-SB,$9.76,$0.12,1.23%
CFG,Citizens Financial Group Inc. (CFG),B- Buy,B,D,A,C,2-Buy,$36.79,$0.56,1.52%
SNE,Sony Corp Ord (SNE),C Hold,B,D,A,C,5-SS,$31.66,$0.06,0.18%
MTN,Vail Resorts Inc. (MTN),B Buy,F,C,F,F,3-Hold,$174.20,$3.24,1.86%
MTH,Meritage Corporation (MTH),C+ Hold,B,A,C,A,4-Sell,$35.05,$0.00,0.00%
VJET,voxeljet AG (VJET),D Sell,F,F,F,F,3-Hold,$3.33,$0.00,0.00%
LAD,Lithia Motors Inc. (LAD),B Buy,A,A,A,A,3-Hold,$99.35,$1.00,1.01%
DPLO,Diplomat Pharmacy Inc. (DPLO),D Sell,B,B,D,A,3-Hold,$15.26,$0.00,0.00%
HY,Hyster-Yale Materials Handling Inc. (HY),C Hold,A,C,A,A,3-Hold,$60.70,$1.18,1.94%
ICL,Israel Chemicals Shs (ICL),D+ Sell,A,B,D,A,3-Hold,$4.53,$0.19,4.15%
